X,Y,OBJECTID,REQUESTAPPROVALSTATUS,REQUESTCOMPLETEDNOTE,REQUESTTYPENOTE,DATESUBMITTED,ADDRESS_OR_LOCATION_OF_CALL,ADDRESS,SD,SPA,CITY,LESSTHAN5PEH,POSSIBLEDWELLERS,COLLABORATORDATEAVAILABILITY,REQUESTCOMPLETEDSTATUS,AMOUNTDEBRISREMOVEDINT,REQUESTCOMPLETEDDATE,GLOBALID
-117.904279306085,33.9930841654196,3118,Request Completed,01/24/25,Immediate Action,2025/01/07 18:21:00+00,"1400 Felicia Avenue, Rowland Heights, CA, 91748","*Repeat Maintenance Cleanup*
Encampment and debris in underground portion of Vernon Channel. In danger of storm season flooding. Adjacent to Shopping Center at 1330 Fullerton Rd, also underneath Colima Rd. Previously cleaned on 1/03/25.",1,SPA 3,City of Industry,yes,2,2025/01/24 16:00:00+00,yes,40,2025/01/24 20:00:00+00,2f27310e-3243-439b-832e-3d1ca7a1920d
-118.158413313129,34.0329796002426,3120,Request Completed,05/13/25,Full Encampment Protocol,2025/01/08 18:46:00+00,"306 South La Verne Avenue, Los Angeles, CA, 90022",Alley next to 306 LaVerne Ave xst 3rd st,1,SPA 7,Unincorporated - East Los Angeles,yes,2,2025/05/13 15:00:00+00,yes,5,2025/05/13 19:00:00+00,9767c05e-5456-4887-9f93-08b5bb551af6
-118.239625351745,33.95405518032,3121,Request Completed,06/17/25,Non-Displacement,2025/01/10 16:15:00+00,"9104 Bandera St, Los Angeles, CA, 90002",Bandera St north of 92nd St,2,SPA 6,Unincorporated - Florence-Firestone,no,16,2025/06/17 15:00:00+00,yes,60,2025/06/17 19:00:00+00,5fd5b51e-5787-40a2-aa7b-97f61e85d107
-118.240787609767,33.9540338985101,3122,Request Completed,06/17/25,Non-Displacement,2025/01/10 16:23:00+00,"9104 Holmes Avenue, Los Angeles, CA, 90002",Holmes Av north of 92nd St,2,SPA 6,Unincorporated - Florence-Firestone,no,5,2025/06/17 15:00:00+00,yes,10,2025/06/17 19:00:00+00,b5408bb5-e34a-4799-aa5e-6c4266b5100b
-118.241866400651,33.9540047260552,3123,Request Completed,06/17/25,Non-Displacement,2025/01/10 16:30:00+00,"9108 Beach St, Los Angeles, CA, 90002",Beach St north of 92nd St,2,SPA 6,Unincorporated - Florence-Firestone,no,18,2025/06/17 15:00:00+00,yes,80,2025/06/17 19:00:00+00,6d0a3c61-6a5d-4295-b3bf-69c9784bf308
-118.255203108576,33.9570073279803,3124,Request Completed,05/06/25,Full Encampment Protocol,2025/01/10 17:04:00+00,"1139 East 88th Place, Los Angeles, CA, 90002",Alley behind 1144 E 88th St,2,SPA 6,Unincorporated - Florence-Firestone,yes,4,2025/06/10 15:00:00+00,prev_approved_activity_not_required,0,2025/05/06 19:00:00+00,6ff87955-c84e-40d9-ba0e-d25d55044bee
-118.17885846842,34.0343681165517,3125,Request Completed,01/30/25,Full Encampment Protocol,2025/01/13 16:11:00+00,"159 South Sunol Drive, Los Angeles, CA, 90063",S Sunol Dr north of 3rd st. Under 60 freeway. ,1,SPA 7,Unincorporated - East Los Angeles,yes,4,2025/01/29 16:00:00+00,yes,15,2025/01/30 20:00:00+00,e758d667-3e2d-40aa-95c0-4c33f7e1374f
-118.16922542928,34.0408516282419,3126,Request Completed,01/29/25,Full Encampment Protocol,2025/01/13 17:07:00+00,"410 North Ford Boulevard, Los Angeles, CA, 90022",Ford between Cesar Chavez and 1st Street,1,SPA 7,Unincorporated - East Los Angeles,yes,1,2025/01/29 16:00:00+00,yes,6,2025/01/29 20:00:00+00,adec03f5-8e51-4399-bd5d-9c0c0a021588
-118.384607870503,34.1407776421999,3127,Request Completed,01/21/25,Immediate Action,2025/01/13 19:10:00+00,"11601 Ventura Boulevard, Studio City, CA, 91604","LA River, right (south) bank, upstream (west) of Tujunga Ave",5,SPA 2,Los Angeles - Studio City,no,8,2025/01/21 16:00:00+00,yes,14,2025/01/21 20:00:00+00,59a5f608-d524-4f55-8aec-e17985ec2c69
-117.97612828457,34.0333461133917,3128,Request Completed,04/24/25,Non-Displacement,2025/01/14 18:08:00+00,"160 7th Avenue, La Puente, CA, 91746",160 7th st xst Valley blvd. ,1,SPA 3,Unincorporated - Avocado Heights,yes,1,2025/05/06 15:00:00+00,yes,0,2025/04/24 19:00:00+00,df0d0e45-6164-448f-9a45-5d24f2108658
-118.444977539419,34.1561378951955,3129,Request Completed,01/21/25,Immediate Action,2025/01/14 19:30:00+00,"14323 West Valleyheart Drive, Sherman Oaks, CA, 91423","LA River, left (north) bank , upstream (west) of Tyrone Ave.",3,SPA 2,Los Angeles - Sherman Oaks,yes,2,2025/01/21 16:00:00+00,yes,5,2025/01/21 20:00:00+00,a4b06ae2-8e6e-4968-b290-ad3df5a62342
-118.457832028048,34.2123462950685,3130,Request Completed,01/21/25,Immediate Action,2025/01/14 22:06:00+00,"7801 Kester Avenue, Van Nuys, CA, 91405","Pacoima Wash, left (east) bank, downstream (south) of Raymer St.",3,SPA 2,Los Angeles - Van Nuys,yes,1,2025/01/21 16:00:00+00,yes,20,2025/01/21 20:00:00+00,d644301e-fa62-4e54-9962-8ed892876b35
-118.288996249501,33.7979573106448,3131,Request Completed,02/11/25,Full Encampment Protocol,2025/01/15 15:51:00+00,"800 West Lomita Boulevard, Harbor City, CA, 90710",Wilmington Drain-north & south of Lomita Blvd  east of Vermont Ave. PEH Encampment are located on FCD right of way property. this is a coloration cleanup with Los Angeles City  jurisdictional area south of Lomita Blvd. ,2,SPA 8,Unincorporated - West Carson,no,15,2025/02/11 16:00:00+00,yes,50,2025/02/11 20:00:00+00,c7907f4c-d7c3-434a-97c9-717100054952
-118.256189267338,33.969881427527,3132,Request Completed,06/18/25,Non-Displacement,2025/01/15 18:16:00+00,"7680 South Central Avenue, Los Angeles, CA, 90001",South side 77th St 20 ‘ east of Central Ave.,2,SPA 6,Unincorporated - Florence-Firestone,no,6,2025/07/08 15:00:00+00,prev_approved_activity_not_required,0,2025/06/18 19:00:00+00,cf21b785-18e1-45ef-8269-28550f77135c
-118.248157472471,33.9633711097313,3133,Request Completed,09/17/25,Non-Displacement,2025/01/15 18:44:00+00,Compton Ave and 83rd St,On 83rd St west of Compton Ave,2,SPA 6,Unincorporated - Florence-Firestone,yes,2,2025/09/16 15:00:00+00,yes,5,2025/09/17 19:00:00+00,c7a24840-22ed-4176-830d-ecb5c393849b
-118.135791937796,34.0151185398519,3134,Request Completed,05/13/25,Full Encampment Protocol,2025/01/15 20:50:00+00,"6301 East Allston St, Los Angeles, CA, 90022",East side Saybrook between Whittier Blvd and Allston St. TCB. ,1,SPA 7,Unincorporated - East Los Angeles,yes,4,2025/05/13 15:00:00+00,yes,5,2025/05/13 19:00:00+00,bd2e48bf-c585-4559-8a80-1d4c9e261adf
-118.412820922346,34.1645237937851,3135,Request Completed,01/21/25,Immediate Action,2025/01/15 21:53:00+00,"12868 Magnolia Boulevard, Valley Village, CA, 91607","Tujunga Wash, right (west) bank, downstream (south) of Magnolia Blvd. FCD ROW access gate is downstream (south) next to 12655 Riverside Dr.",3,SPA 2,Los Angeles - Sherman Oaks,yes,1,2025/01/21 16:00:00+00,yes,4,2025/01/21 20:00:00+00,5ea7087d-207a-4f07-bcf4-f887bc95fbd9
-117.830772208984,34.1192513074643,3136,Request Completed,01/30/25,Full Encampment Protocol,2025/01/15 21:54:00+00,"929 S Lone Hill Ave, Glendora","Encampments are at Forbes SG near 929 S Lone Hill Ave, Glendora, blocking maintenance works.",5,SPA 3,City of Glendora,yes,3,2025/01/30 16:00:00+00,yes,0,2025/01/30 20:00:00+00,243fd429-4fe1-48e7-8789-1178cfbb50af
-118.596910483476,34.2463722845581,3137,Request Completed,02/25/25,Immediate Action,2025/01/15 22:54:00+00,"9716 Deering Avenue, Chatsworth, CA, 91311","Browns Creek Channel, left (east) bank, downstream (south) of Lassen St

RESCHEDULED FOR TUES, 2/25/25",3,SPA 2,Los Angeles - Chatsworth,no,5,2025/02/25 16:00:00+00,yes,30,2025/02/25 20:00:00+00,e25c64c2-002e-44be-91db-d9ff643be054
-118.564439635327,34.2355024988873,3138,Request Completed,03/06/25,Immediate Action,2025/01/16 02:59:00+00,"19801 Nordhoff Place, Chatsworth, CA, 91311","Limekiln Channel, left (east) bank, upstream (north) and downstream (south) of Nordhoff Place, and heading downstream (south) towards Corbin Ave

RESCHEDULED FOR THURS, 3/6/25",3,SPA 2,Los Angeles - Northridge,no,5,2025/02/11 16:00:00+00,yes,15,2025/03/06 20:00:00+00,989c58a8-742b-4e66-abbb-cefb269dfe47
-118.182101649683,34.0575656045805,3139,Request Completed,05/13/25,Full Encampment Protocol,2025/01/16 16:18:00+00,"3900 East Whiteside St, Los Angeles, CA, 90063",Cul-de-sac on Bonnie Beach Pl south of Whiteside St.,1,SPA 4,Unincorporated - East Los Angeles,yes,2,2025/05/13 15:00:00+00,yes,5,2025/05/13 19:00:00+00,c5b976f4-487b-4c94-a787-8c1bb89e5ca7
-118.432564558619,33.9762634863959,3140,Request Completed,06/13/25,Non-Displacement,2025/01/16 20:08:00+00,"1328 Culver Boulevard Marina Del Rey, CA, 90292",Culver Blvd at Culver Loop,2,SPA 5,Los Angeles - Del Rey,no,5,2025/05/13 15:00:00+00,prev_approved_activity_not_required,0,2025/06/13 19:00:00+00,23841206-234e-413c-9fad-9f7df7bfef86
-118.221524910702,34.0831720809565,3141,Request Completed,01/31/25,Immediate Action,2025/01/16 21:32:00+00,"475 West Avenue 26, Los Angeles, CA, 90065","Encampment is on the invert of Arroyo Seco Channel, under Ave 26 and is blocking flowline.",1,SPA 4,Los Angeles - Lincoln Heights,yes,2,2025/01/30 16:00:00+00,yes,5,2025/01/31 20:00:00+00,169ae3d2-25a1-4247-85e7-c62b20304025
-117.883638888871,34.1141944444388,3142,Request Completed,01/30/25,Immediate Action,2025/01/16 21:52:00+00,"5610 Galanto Avenue, Azusa, CA, 91702","Encampments are located at Big Dalton Wash access gates, upstream and downstream of Gladstone St, and in the right of way on the right bank near Barranca Ave; and are blocking access and maintenance works.",1,SPA 3,Unincorporated - Azusa,yes,3,2025/01/30 16:00:00+00,yes,5,2025/01/30 20:00:00+00,ff5d010d-3b6b-433a-82e3-098d682c96a3
-118.051422976953,33.9542480576559,3145,Request Completed,03/25/25,Immediate Action,2025/01/16 22:50:00+00,"12801 Ann St, Santa Fe Springs, CA, 90670",BI 15 A2 Sorenson Ave from Santa Fe Spring Rd to Painter Ave in the Whittier City. PEH encampments trash & debris are blocking the channel's maintenance access road right of way for emergency vehicles and LA County staff to access to perform scheduled maintenance work.,4,SPA 7,City of Santa Fe Springs,no,10,2025/03/25 14:30:00+00,yes,120,2025/03/25 19:00:00+00,7b251488-76fd-468d-933f-a23c5c17fb9a
-118.499077125223,34.221065463556,3146,Request Completed,03/04/25,Immediate Action,2025/01/16 16:00:00+00,"16755 Roscoe Boulevard, Van Nuys, CA, 91406","Bull Creek, both banks, upstream (north) of Roscoe Blvd.

PARTIALLY COMPLETED TUES, 2/4/25.  POSTPONED DUE TO WEATHER.  REMAINDER RESCHEDULED FOR TUES, 3/4/25.",3,SPA 2,Los Angeles - Northridge,no,10,2025/03/04 16:00:00+00,yes,30,2025/03/04 20:00:00+00,bb950bf0-3d2a-4106-a3f3-f393bf53fef9
-117.840951024733,34.0190634329175,3147,Request Completed,01/31/25,Immediate Action,2025/01/17 22:42:00+00,"123 Brea Canyon Road, Walnut, CA, 91789","Encampments are in San Jose Creek right of way behind 131 Brea Canyon Rd, Walnut, downstream left bank of Brea Canyon Rd, and are blocking access and maintenance operations.",1,SPA 3,Unincorporated - Walnut,yes,2,2025/01/31 16:00:00+00,yes,10,2025/01/31 20:00:00+00,e58624d6-1bd5-4470-871e-e592451d86d3
-118.160444538674,34.0115183956077,3148,Request Completed,03/11/25,Full Encampment Protocol,2025/01/21 19:00:00+00,"5143 Telegraph Road, Los Angeles, CA, 90022",West side Woods at Telegraph Rd.,1,SPA 7,Unincorporated - East Los Angeles,yes,1,2025/03/11 15:00:00+00,yes,3,2025/03/11 19:00:00+00,7ed26831-fb1b-412f-88f4-44fa7fb630f8
-118.157635862089,34.0157736387524,3149,Request Completed,01/29/25,Full Encampment Protocol,2025/01/21 19:44:00+00,"5304 East Olympic Boulevard, Los Angeles, CA, 90022",Amalia Ave south of Olympic Blvd,1,SPA 7,Unincorporated - East Los Angeles,yes,2,2025/01/29 16:00:00+00,yes,0,2025/01/29 20:00:00+00,c60e4bcb-f894-4e31-82ba-edc84772f0a7
-118.175895559214,34.0185925087966,3150,Request Completed,01/29/25,Full Encampment Protocol,2025/01/21 20:04:00+00,"1206 South Marianna Avenue, Los Angeles, CA, 90023",Marianna Ave at Telegraph Rd.,1,SPA 7,Unincorporated - East Los Angeles,no,6,2025/01/29 16:00:00+00,yes,40,2025/01/29 20:00:00+00,b2c7d9d8-044e-4b30-8023-cd436621739c
-118.179139297472,34.0594925179213,3151,Request Completed,01/30/25,Full Encampment Protocol,2025/01/21 20:21:00+00,"1551 Miller Avenue, Los Angeles, CA, 90063",Miller at Whiteside.,1,SPA 4,Unincorporated - East Los Angeles,no,10,2025/01/29 16:10:00+00,yes,20,2025/01/30 20:00:00+00,ade3eac9-ad38-45e4-8b95-3f3191803808
-118.462396851147,34.0545771418263,3152,Request Completed,04/17/25,Full Encampment Protocol,2025/01/21 20:42:00+00,"911 Bringham Avenue, Los Angeles, CA, 90049",Wilshire blvd at Elsenhower. Near entrance to Wadsworth theatre. ,3,SPA 5,Unincorporated - West LA,yes,2,2025/04/17 18:38:00+00,yes,10,2025/04/17 19:00:00+00,a9262ac0-b765-4a62-b403-c24fe5e5f6ac
-118.136528481423,34.0112571439971,3153,Request Completed,01/30/25,Full Encampment Protocol,2025/01/21 20:43:00+00,"1306 Saybrook Avenue, Los Angeles, CA, 90022",Saybrook south of Olympic,1,SPA 7,Unincorporated - East Los Angeles,no,14,2025/01/29 16:00:00+00,yes,0,2025/01/30 20:00:00+00,3ba4ff4f-ea9a-4429-a19c-692a83a22004
-118.181187184627,34.0120516113683,3154,Request Completed,05/13/25,Full Encampment Protocol,2025/01/21 22:08:00+00,"1530 South Bonnie Beach Place, Los Angeles, CA, 90023",South west corner Bonnie Beach Pl and Noakes St.,1,SPA 7,Unincorporated - East Los Angeles,yes,3,2025/05/13 15:00:00+00,yes,40,2025/05/13 19:00:00+00,82c430fb-3a96-4813-882e-ddd607bd1555
-118.010958504911,34.0998221024191,3155,Request Completed,01/29/25,Immediate Action,2025/01/22 16:17:00+00,"5401 Peck Road, Arcadia, CA, 91006","*Repeat Maintenance Cleanup* Various Encampments in continuous outreach areas: Peck Park Spreading Grounds, Santa Anita Wash - Live Oak Ave to Peck Park SG. Rio Hondo - 10 Fwy to Peck SG. Arcadia Wash - Lower Azusa. Previously cleaned up on 12/30-12/3.",5,SPA 3,City of Arcadia,yes,4,,yes,112,2025/01/29 20:00:00+00,5997af59-01c0-4395-8894-5fc17660719e
-118.407614122883,33.9932652700048,3156,Request Completed,03/26/25,Full Encampment Protocol,2025/01/22 17:54:00+00,"11515 Bradson Place, Culver City, CA, 90230",Sawtelle Channel- behind 11515 Brandson Place Los Angeles City 90230. PEH Encampment trash & debris are located on the maintenance access roads right of way.,2,SPA 5,Los Angeles - Del Rey,no,5,2025/03/26 16:00:00+00,yes,4,2025/03/26 19:00:00+00,1bf7e02e-f6f4-49f3-ab8d-c69226163ddb
-118.627361307937,34.5025169871137,3157,Request Completed,04/18/25,Full Encampment Protocol,2025/01/22 18:05:00+00,"32034 Castaic Road, Castaic, CA, 91384",Castaic Rd under 5 freeway. ,5,SPA 2,Unincorporated - Castaic,yes,3,2025/04/18 21:07:00+00,yes,0,2025/04/18 19:00:00+00,8bba320e-654d-4452-a0c4-38e5c9544dd5
-118.288537294179,33.8084458513714,3158,Request Completed,08/27/25,Immediate Action,2025/01/22 21:42:00+00,"Vermont Ave & Sepulveda Blvd, Harbor City, California, 90710","Sepulveda Blvd at Vermont Ave southeast corner, behind Arco gas station property. 
PEH at channel' send at Dot Caltrans Freeway 110 right of way.",2,SPA 8,Unincorporated - West Carson,no,5,2025/08/27 15:00:00+00,yes,64,2025/08/27 19:00:00+00,108ffa79-3690-4166-91dd-c5bbfbb8b1e6
-118.292560830963,33.9271816267248,3159,Request Completed,03/07/25,Full Encampment Protocol,2025/01/23 17:52:00+00,"11721 South Vermont Avenue, Los Angeles, CA, 90044",Alley behind 11723 Vermont ave cst E 117th st. ,2,SPA 8,Unincorporated - Athens-Westmont,yes,2,2025/03/19 15:00:00+00,yes,0,2025/03/07 20:00:00+00,6b5a8bc0-d713-4afa-8816-c1ab6e1ba691
-118.232546866,33.9177608040972,3160,Request Completed,05/28/25,Full Encampment Protocol,2025/01/23 18:26:00+00,"12613 South Willowbrook Avenue, Compton, CA, 90222",S. Willowbrook Ave @ E. 126th St,2,SPA 6,Unincorporated - Willowbrook,yes,2,2025/07/08 15:00:00+00,yes,35,2025/05/28 19:00:00+00,b416572c-5f07-447d-a82d-d53be14f80c0
-118.239004877271,33.9558135873101,3161,Request Completed,05/06/25,Full Encampment Protocol,2025/01/23 20:33:00+00,"8901 Elm St, Los Angeles, CA, 90002",Alley behind 9005 Elm St xst E. 88th St.,2,SPA 6,Unincorporated - Florence-Firestone,yes,1,2025/06/10 15:00:00+00,prev_approved_activity_not_required,0,2025/05/06 19:00:00+00,538a8aed-8c5b-4689-8b8a-56a678e49577
-118.234376426008,33.9602680125447,3162,Request Completed,06/26/25,Non-Displacement,2025/01/23 21:00:00+00,"2121 Firestone Boulevard, Los Angeles, CA, 90002",Northside Firestone Blvd 50’ west of Ivy St,2,SPA 6,Unincorporated - Florence-Firestone,no,5,2025/08/05 15:00:00+00,yes,200,2025/06/26 19:00:00+00,9bf6dc73-f892-4f1d-85ab-c77a2c955d14
-118.080484502141,34.1312328583199,3163,Request Completed,01/30/25,Immediate Action,2025/01/24 00:01:00+00,"829 Madre St, Pasadena, CA, 91107","Encampments are at Eaton Wash's Right of Way, Up Stream Right Bank of Huntington Drive, Pasadena and blocking access and maintenance work. ",5,SPA 3,Unincorporated - East Pasadena,yes,2,2025/01/30 18:55:00+00,yes,15,2025/01/30 20:00:00+00,8b4b7e60-88a6-4269-842e-214f73b662be
-118.244517543433,33.9669032108784,3165,Request Completed,03/04/25,Full Encampment Protocol,2025/01/24 16:45:00+00,"1641 East 80th St, Los Angeles, CA, 90001",Maie Av between Nadeau St and 80th St.,2,SPA 6,Unincorporated - Florence-Firestone,no,15,2025/03/04 16:00:00+00,yes,80,2025/03/04 20:00:00+00,c7ed8c1a-cda7-4b37-9600-c6fd38fdc90f
-118.255170030688,33.9892425462588,3166,Request Completed,07/17/25,Non-Displacement,2025/01/24 18:22:00+00,"1160 East Slauson Avenue, Huntington Park, CA",South side E Slauson 200” east of Central ave. ,2,SPA 6,Unincorporated - Florence-Firestone,yes,3,2025/07/29 15:00:00+00,yes,0,2025/07/17 19:00:00+00,bb20b941-bed2-4d1e-a645-5ccf13007a49
-117.963301747965,34.0105525990328,3167,Request Completed,04/24/25,Full Encampment Protocol,2025/01/24 20:19:00+00,"1107 South Hacienda Boulevard, Hacienda Heights, CA, 91745",1117 Hacienda blvd xst Gale av. ,1,SPA 3,Unincorporated - Hacienda Heights,yes,1,2025/05/06 15:00:00+00,yes,0,2025/04/24 19:00:00+00,a2d3dfd7-c837-45a1-a1fa-bf3d41726ec5
-118.246148429798,33.9197212494372,3168,Request Completed,09/16/25,Non-Displacement,2025/01/24 21:09:00+00,"12414 South Compton Avenue, Compton, CA",Compton Ave from 126th St to 121st St.  Both east and west sides. ,2,SPA 6,Unincorporated - Willowbrook,no,8,2025/09/16 15:00:00+00,yes,20,2025/09/16 19:00:00+00,3190e899-85b3-43df-8c9a-1d6169cf4d9e
-118.201268746585,33.7646209887438,3169,Request Completed,04/08/25,Full Encampment Protocol,2025/01/27 16:42:00+00,"401 Golden Shore, CA",Los Angeles River-Golden Shore Street to Greenleaf Blvd East & West banks & maintenance access road right of way. PEH Encampment blocking the bike trail path & maintenance access roads.,4,SPA 8,City of Long Beach,no,80,2025/03/25 14:30:00+00,yes,901,2025/04/08 19:00:00+00,22b8bc39-ca87-4cc4-adb9-f7d7f0176e32
-118.253835211432,33.9460893670388,3170,Request Completed,06/27/25,Non-Displacement,2025/01/27 18:59:00+00,"10000 South Central Avenue, Los Angeles, CA, 90002",South east corner Central ave on 100th st. ,2,SPA 6,Los Angeles - Green Meadows,yes,2,2025/06/27 15:00:00+00,prev_approved_activity_not_required,0,2025/06/27 19:00:00+00,4013e38d-017f-459f-9533-da844c8e55f6
-118.399359843568,34.1847571123412,3171,Request Completed,02/05/25,Immediate Action,2025/01/27 21:16:00+00,"19148 Bellingham Ave, North Hollywood, CA 91606",Tujunga Central Channel @ Laurel Canyon Blvd. by Alexandria Park.,3,SPA 2,Los Angeles - North Hollywood,no,6,2025/02/05 16:00:00+00,yes,15,2025/02/05 20:00:00+00,bf09b2ad-fbf4-4e4d-960a-e72671dbf112
-118.028838319107,34.0393150504111,3172,Request Completed,02/05/25,Immediate Action,2025/01/27 23:20:00+00,"11526 Thienes Avenue, South El Monte, CA, 91733","*Repeat Maintenance Cleanup* San Gabriel River - San Jose Creek Confluence to Valley Blvd. Soft Bottom Invert, outlets, and embankment encampments are at high risk of flooding and are also obstructing vegetation clearing maintenance work. Access road encampments blocking emergency and maintenance vehicular access. Previously cleaned up on 01/07-01/08/25.",1,SPA 3,City of South El Monte,no,10,,yes,82,2025/02/05 20:00:00+00,d2aa966c-8af5-46ea-814d-de524943cf65
-118.157049631792,34.0195022849631,3173,Request Completed,02/26/25,Full Encampment Protocol,2025/01/28 19:13:00+00,"926 South Atlantic Boulevard, Los Angeles, CA, 90022",Alley behind 916 Atlantic Blvd,1,SPA 7,Unincorporated - East Los Angeles,no,6,2025/02/25 16:00:00+00,yes,10,2025/02/26 20:00:00+00,0f63d534-d315-49bf-a558-6db14fcac7e9
-118.455799701595,34.2102836794656,3174,Request Completed,02/03/25,Immediate Action,2025/01/28 21:05:00+00,"14815 Keswick St, Van Nuys, CA, 91405","Pacoima Wash, left (east) bank , upstream (north) and downstream (south) of Keswick St.",3,SPA 2,Los Angeles - Van Nuys,no,6,2025/02/03 16:00:00+00,yes,25,2025/02/03 20:00:00+00,8eedd322-24a8-4d68-9331-a36cd9ff1a0a
-118.136947948869,34.0153155550083,3175,Request Completed,05/13/25,Full Encampment Protocol,2025/01/29 17:51:00+00,"925 Westside Drive, Los Angeles, CA, 90022",Allston St between Westside Dr and Saybrook Dr,1,SPA 7,Unincorporated - East Los Angeles,no,7,2025/05/13 15:00:00+00,yes,5,2025/05/13 19:00:00+00,1c45e717-7f25-4904-929d-91bbe780e03f
